order_id,customer_id,product_id,order_date,order_quantity,order_status,order_approval_date,order_delivery_date,rating_date,rating_score,rating_comment
97564t,30842q,24752z,4/27/2023,1,processing,4/30/2023,,,,
23865g,01054m,04151d,08/03/2023,9,delivered,08/03/2023,08/07/2023,,,
07385m,89513e,10638s,06/01/2023,1,pending,,,,,
85330s,12116r,80153c,10/05/2023,4,delivered,10/06/2023,10/11/2023,10/25/2023,5,Disappointing. Didn't meet my needs as expected.
96952m,87193b,66048l,12/30/2023,4,delivered,12/31/2023,01/06/2024,1/17/2024,3,
21944r,09903v,86538t,11/19/2023,2,delivered,11/19/2023,12/02/2023,12/11/2023,1,
10874j,41589h,32750s,8/20/2023,10,delivered,8/23/2023,8/25/2023,09/06/2023,3,Good value for money. Does the job well.
41511r,58686s,19648f,08/08/2023,5,processing,08/10/2023,,,,
26659k,45672n,02090u,8/27/2023,8,delivered,8/28/2023,09/08/2023,9/15/2023,1,
39508p,04537j,86538t,7/31/2023,8,processing,7/31/2023,,,,
77083x,05470e,78277j,12/11/2023,1,delivered,12/14/2023,12/22/2023,,,
89751j,86200y,83931b,12/08/2023,3,delivered,12/08/2023,12/20/2023,,,
93339i,92348m,31106q,8/20/2023,8,shipped,8/21/2023,,,,
15502z,35352u,27297s,03/01/2023,3,delivered,03/01/2023,03/12/2023,3/25/2023,3,Easy to use and convenient.
32545i,83161t,95177z,06/12/2023,1,delivered,6/14/2023,6/23/2023,,,
75602o,74115u,02510u,4/23/2023,10,delivered,4/23/2023,4/27/2023,,,
74360m,65425n,57571j,08/11/2023,2,delivered,8/14/2023,8/18/2023,8/28/2023,4,"Great product, very satisfied with its performance!"
82066p,76537i,95332p,07/08/2023,5,processing,07/10/2023,,,,
14549j,19560r,11932o,3/19/2023,8,delivered,3/20/2023,04/02/2023,04/04/2023,3,Good value for money. Does the job well.
87893c,74833d,80153c,04/02/2023,10,delivered,04/03/2023,04/12/2023,4/18/2023,2,"Average product, nothing special about it."
50630i,09157y,47973g,03/06/2023,9,delivered,03/07/2023,3/15/2023,3/26/2023,1,
12512e,91921x,75135q,12/10/2023,3,delivered,12/12/2023,12/15/2023,01/03/2024,1,
74400l,57146f,88691q,5/31/2023,6,delivered,5/31/2023,6/14/2023,6/25/2023,4,
43844j,51188v,93680s,08/03/2023,5,delivered,08/03/2023,08/08/2023,8/19/2023,3,
90279b,29780w,12490g,3/17/2023,2,shipped,3/18/2023,,,,
44259r,77733q,97338x,08/06/2023,4,delivered,08/09/2023,8/18/2023,8/31/2023,3,"Great product, very satisfied with its performance!"
38582z,04537j,45387s,03/09/2023,6,processing,03/09/2023,,,,
17529t,97696g,06727r,09/05/2023,8,delivered,09/08/2023,9/13/2023,9/28/2023,2,"Impressive design, but functionality could be improved."
25108z,91921x,12490g,11/03/2023,4,delivered,11/06/2023,11/14/2023,,,
59968g,05313r,78277j,6/20/2023,3,processing,6/21/2023,,,,
22543q,70801v,12363m,5/24/2023,2,delivered,5/24/2023,06/02/2023,6/18/2023,3,Disappointing. Didn't meet my needs as expected.
45867s,05470e,82417v,06/06/2023,8,processing,06/08/2023,,,,
00135x,74833d,85089g,7/25/2023,8,delivered,7/28/2023,08/06/2023,,,
32555y,32283g,12490g,1/28/2024,7,delivered,1/29/2024,02/09/2024,2/20/2024,2,"Impressive design, but functionality could be improved."
45594t,73496p,65763w,4/23/2023,8,delivered,4/26/2023,4/29/2023,5/17/2023,3,"Average product, nothing special about it."
08934b,92348m,88691q,9/24/2023,6,delivered,9/25/2023,9/30/2023,10/12/2023,3,Needs better instructions for setup.
78179g,48745d,80153c,04/01/2023,4,delivered,04/02/2023,04/05/2023,4/24/2023,4,
62949l,44932e,04151d,7/18/2023,4,delivered,7/21/2023,7/30/2023,08/10/2023,3,
67515j,86200y,83500s,7/26/2023,6,delivered,7/27/2023,08/03/2023,,,
87296w,88437p,10638s,10/24/2023,4,delivered,10/27/2023,10/29/2023,,,
67243b,29780w,98568g,4/30/2023,3,shipped,05/03/2023,,,,
56575l,45672n,02931a,05/11/2023,3,shipped,5/13/2023,,,,
87833i,41589h,05847e,11/04/2023,3,delivered,11/06/2023,11/14/2023,11/24/2023,2,Needs better instructions for setup.
85698c,99498p,95332p,07/06/2023,3,delivered,07/09/2023,7/13/2023,,,
45944u,14431h,85163t,11/13/2023,2,delivered,11/16/2023,11/24/2023,12/04/2023,5,Easy to use and convenient.
31373z,83161t,05847e,10/10/2023,6,pending,,,,,
50097h,87193b,34220z,09/03/2023,1,delivered,09/04/2023,09/12/2023,,,
94109r,96093d,04151d,04/12/2023,4,delivered,4/13/2023,4/24/2023,,,
20008d,50935w,20295e,10/31/2023,6,processing,10/31/2023,,,,
02528i,75825u,75135q,3/25/2023,9,delivered,3/26/2023,04/02/2023,4/15/2023,1,
62602l,58686s,73939b,10/03/2023,8,delivered,10/06/2023,10/16/2023,10/21/2023,1,"Average product, nothing special about it."
24701o,74115u,31106q,6/13/2023,9,shipped,6/14/2023,,,,
56715l,09903v,32750s,11/07/2023,1,delivered,11/09/2023,11/19/2023,,,
02044k,86200y,31346s,03/01/2023,3,delivered,03/02/2023,03/05/2023,,,
18811s,39884g,17115k,01/04/2024,2,shipped,01/05/2024,,,,
04312u,92348m,61340n,05/11/2023,8,delivered,5/14/2023,5/15/2023,,,
69718g,29780w,24752z,1/20/2024,2,delivered,1/23/2024,1/29/2024,02/04/2024,2,Needs better instructions for setup.
12193r,57146f,86538t,11/07/2023,5,delivered,11/07/2023,11/17/2023,,,
24216z,44932e,31610d,5/22/2023,5,delivered,5/22/2023,06/04/2023,06/07/2023,3,"Works perfectly, exactly what I needed!"
14729q,41589h,31607j,12/03/2023,4,shipped,12/03/2023,,,,
55357u,05470e,00613n,10/23/2023,7,delivered,10/24/2023,11/06/2023,,,
19988l,45672n,31106q,07/07/2023,10,delivered,07/07/2023,07/11/2023,7/31/2023,2,
16974t,09903v,45009e,05/04/2023,10,delivered,05/05/2023,5/17/2023,,,
06487u,58686s,07681m,11/02/2023,3,delivered,11/04/2023,11/10/2023,11/24/2023,1,
63864h,12116r,48150m,02/03/2024,9,delivered,02/05/2024,02/08/2024,,,
77060v,87193b,31610d,6/18/2023,4,shipped,6/18/2023,,,,
76023o,96093d,27297s,06/05/2023,5,delivered,06/07/2023,6/14/2023,,,
60752k,14431h,07190d,11/06/2023,10,delivered,11/07/2023,11/16/2023,11/25/2023,5,Needs better instructions for setup.
79870i,76537i,74326j,5/29/2023,7,delivered,5/30/2023,06/05/2023,,,
17427m,38964c,31607j,12/14/2023,3,delivered,12/17/2023,12/18/2023,01/05/2024,5,"Average product, nothing special about it."
48796q,35352u,70177q,06/11/2023,9,delivered,06/11/2023,6/16/2023,6/30/2023,5,"Great product, very satisfied with its performance!"
14575x,74115u,31607j,03/03/2023,9,delivered,03/04/2023,03/11/2023,3/28/2023,3,
16046p,19560r,45819t,12/25/2023,4,delivered,12/28/2023,01/02/2024,,,
69804k,89513e,70177q,03/04/2023,10,delivered,03/04/2023,03/09/2023,3/28/2023,3,
65076k,66812h,89860e,02/10/2024,7,delivered,02/12/2024,2/15/2024,,,
88750z,75825u,85065z,9/16/2023,7,delivered,9/18/2023,9/23/2023,,,
84098t,97696g,31607j,2/25/2024,6,delivered,2/27/2024,03/10/2024,,,
69977v,29780w,53286c,01/12/2024,5,delivered,1/13/2024,1/26/2024,,,
00621o,41589h,20472b,4/22/2023,10,delivered,4/23/2023,05/01/2023,5/15/2023,4,"Works perfectly, exactly what I needed!"
30193i,75825u,24952a,10/23/2023,6,delivered,10/26/2023,10/31/2023,11/16/2023,5,"Impressive design, but functionality could be improved."
60645q,88437p,97711l,3/20/2023,3,delivered,3/23/2023,04/02/2023,,,
77196t,09903v,83931b,11/11/2023,4,delivered,11/14/2023,11/21/2023,,,
14050s,91921x,12490g,11/27/2023,9,processing,11/29/2023,,,,
33227r,14431h,27099c,1/16/2024,10,shipped,1/18/2024,,,,
21782k,83161t,66048l,01/08/2024,7,processing,01/11/2024,,,,
63574q,12116r,83500s,12/20/2023,2,delivered,12/20/2023,12/25/2023,,,
02842s,57146f,20472b,7/21/2023,9,shipped,7/21/2023,,,,
93799n,19560r,00063g,06/10/2023,1,delivered,6/13/2023,6/15/2023,6/27/2023,3,Good value for money. Does the job well.
49830r,73496p,27297s,12/26/2023,8,shipped,12/26/2023,,,,
37428p,87193b,85065z,2/21/2024,4,delivered,2/21/2024,2/28/2024,3/16/2024,4,Needs better instructions for setup.
12134s,30842q,95903a,11/28/2023,4,pending,,,,,
35939y,01054m,31982j,01/11/2024,2,delivered,01/12/2024,1/21/2024,,,
08082t,35352u,64776e,12/19/2023,5,delivered,12/21/2023,12/31/2023,01/07/2024,3,
70664i,77733q,77380y,12/24/2023,2,pending,,,,,
88636v,66818u,85065z,4/30/2023,10,delivered,05/03/2023,05/06/2023,,,
89414h,96093d,95177z,4/19/2023,5,delivered,4/21/2023,4/29/2023,,,
16553v,61619r,74326j,9/22/2023,3,shipped,9/23/2023,,,,
75536c,32283g,21440v,11/10/2023,5,delivered,11/10/2023,11/20/2023,,,
09827t,97146x,31106q,02/10/2024,9,shipped,2/13/2024,,,,
15258k,38964c,78277j,9/27/2023,1,delivered,9/29/2023,10/08/2023,,,
69112k,89513e,88691q,12/21/2023,1,delivered,12/22/2023,01/03/2024,1/13/2024,3,
90181k,70849a,85163t,4/29/2023,1,delivered,05/01/2023,05/10/2023,,,
30667t,66812h,82417v,11/12/2023,5,delivered,11/13/2023,11/17/2023,12/05/2023,5,
93888d,44932e,97711l,7/21/2023,9,delivered,7/24/2023,7/29/2023,08/11/2023,5,Needs better instructions for setup.
83664u,96093d,48150m,2/21/2024,10,shipped,2/22/2024,,,,
66955j,76537i,53286c,03/01/2023,5,delivered,03/04/2023,03/10/2023,,,
51888w,97696g,66048l,10/24/2023,8,delivered,10/25/2023,10/30/2023,,,
26233x,51188v,24952a,08/12/2023,3,delivered,8/13/2023,8/21/2023,,,
25263n,89513e,75982l,09/06/2023,8,shipped,09/07/2023,,,,
73063u,97146x,73939b,06/06/2023,2,processing,06/08/2023,,,,
92868i,74115u,27099c,12/13/2023,5,processing,12/15/2023,,,,
00445t,70801v,31982j,03/03/2023,10,delivered,03/06/2023,03/12/2023,3/20/2023,2,"Works perfectly, exactly what I needed!"
15516t,92348m,31610d,8/15/2023,2,shipped,8/17/2023,,,,
85621d,05313r,45819t,6/25/2023,5,shipped,6/25/2023,,,,
30932d,09157y,20295e,8/29/2023,6,shipped,8/29/2023,,,,
13951v,75825u,81516l,6/14/2023,1,shipped,6/15/2023,,,,
66285l,04866x,48088d,5/15/2023,10,delivered,5/18/2023,5/21/2023,,,
38112r,91921x,97338x,3/24/2023,8,delivered,3/25/2023,04/06/2023,04/09/2023,4,"Great product, very satisfied with its performance!"
21925k,29780w,64242h,5/31/2023,1,delivered,06/03/2023,06/07/2023,,,
11450b,44932e,66048l,09/01/2023,2,delivered,09/01/2023,9/14/2023,9/25/2023,4,Easy to use and convenient.
55435p,58686s,02510u,6/19/2023,5,delivered,6/20/2023,6/29/2023,07/09/2023,3,"Impressive design, but functionality could be improved."
17692j,09903v,83931b,03/11/2023,3,delivered,03/11/2023,3/23/2023,3/31/2023,2,
35383c,87193b,88691q,8/28/2023,7,delivered,8/31/2023,09/06/2023,9/18/2023,2,Highly recommended! This product exceeded my expectations.
39507y,05470e,45819t,05/08/2023,10,delivered,05/08/2023,5/14/2023,,,
51853l,19560r,94269v,2/22/2024,4,delivered,2/25/2024,2/29/2024,03/10/2024,3,"Great product, very satisfied with its performance!"
15264f,57146f,12363m,07/10/2023,5,delivered,07/12/2023,7/19/2023,,,
74355b,35352u,20295e,5/19/2023,3,delivered,5/19/2023,5/28/2023,,,
93557s,32283g,11932o,7/22/2023,8,pending,,,,,
14878n,41589h,48088d,7/31/2023,7,processing,08/01/2023,,,,
17040p,04537j,33224p,09/01/2023,6,delivered,09/01/2023,09/09/2023,,,
68952r,38964c,29754z,1/28/2024,10,shipped,1/28/2024,,,,
19829v,04866x,61340n,12/02/2023,8,delivered,12/02/2023,12/08/2023,,,
92534m,50935w,12490g,03/04/2023,5,delivered,03/07/2023,3/17/2023,,,
31546i,97696g,95177z,8/21/2023,9,delivered,8/24/2023,8/26/2023,,,
84168o,61619r,19648f,10/28/2023,4,delivered,10/31/2023,11/03/2023,,,
44888q,86200y,32750s,7/17/2023,1,processing,7/17/2023,,,,
05255l,30842q,68153q,4/23/2023,5,processing,4/23/2023,,,,
92099x,29780w,00908q,08/05/2023,10,shipped,08/07/2023,,,,
46549a,09157y,02931a,4/24/2023,2,delivered,4/25/2023,4/30/2023,05/12/2023,4,"Impressive design, but functionality could be improved."
17071m,77733q,02090u,10/04/2023,3,delivered,10/04/2023,10/09/2023,10/27/2023,5,
20695g,48745d,45009e,10/08/2023,8,delivered,10/09/2023,10/13/2023,11/01/2023,3,"Works perfectly, exactly what I needed!"
93641p,45672n,02090u,6/30/2023,5,delivered,07/03/2023,07/05/2023,7/23/2023,4,"Impressive design, but functionality could be improved."
00917i,74833d,81516l,1/19/2024,6,delivered,1/19/2024,1/25/2024,02/03/2024,1,
43726b,65425n,83931b,1/27/2024,2,delivered,1/28/2024,02/01/2024,2/13/2024,1,
51774n,99498p,63937j,7/13/2023,2,delivered,7/13/2023,7/27/2023,,,
01673x,96093d,81516l,12/06/2023,8,delivered,12/07/2023,12/14/2023,,,
31023s,09903v,02090u,2/18/2024,8,delivered,2/20/2024,2/26/2024,,,
25446p,74115u,09112u,10/19/2023,1,delivered,10/21/2023,10/28/2023,11/09/2023,1,"Great product, very satisfied with its performance!"
01785w,75825u,70177q,11/23/2023,5,delivered,11/26/2023,12/05/2023,,,
26970v,38964c,31982j,01/06/2024,3,processing,01/07/2024,,,,
89026r,91921x,48150m,04/10/2023,4,delivered,04/10/2023,4/16/2023,4/30/2023,3,"Average product, nothing special about it."
22356j,76537i,83500s,08/01/2023,4,delivered,08/02/2023,08/06/2023,,,
51745i,70849a,06727r,01/09/2024,5,processing,01/11/2024,,,,
69373s,39884g,02931a,10/09/2023,1,delivered,10/12/2023,10/13/2023,,,
89718c,66818u,83500s,2/14/2024,8,delivered,2/15/2024,2/21/2024,03/05/2024,4,Quality could be better for the price.
29111a,73496p,00613n,02/11/2024,5,delivered,2/13/2024,2/22/2024,03/03/2024,5,Needs better instructions for setup.
76100z,70801v,30871m,2/15/2024,7,delivered,2/18/2024,2/20/2024,03/09/2024,3,
94317p,01054m,93680s,12/19/2023,4,delivered,12/20/2023,12/31/2023,01/07/2024,1,
22760s,57146f,00908q,9/23/2023,3,delivered,9/24/2023,9/29/2023,,,
14904h,58686s,75992v,10/08/2023,8,delivered,10/11/2023,10/12/2023,,,
97745k,35352u,75135q,6/26/2023,8,delivered,6/29/2023,07/06/2023,,,
76569m,89513e,31346s,6/13/2023,2,delivered,6/16/2023,6/23/2023,07/06/2023,5,
50029v,61619r,27297s,12/26/2023,1,delivered,12/28/2023,01/08/2024,,,
56161t,74115u,30871m,11/12/2023,9,pending,,,,,
72900x,30842q,30871m,7/19/2023,5,delivered,7/20/2023,7/28/2023,08/09/2023,1,
51914u,41589h,33467h,09/12/2023,1,shipped,09/12/2023,,,,
73006s,57146f,95903a,10/21/2023,5,processing,10/24/2023,,,,
72236c,66812h,02510u,5/29/2023,6,pending,,,,,
81978c,96093d,78277j,1/16/2024,9,delivered,1/18/2024,1/27/2024,02/06/2024,4,"Great product, very satisfied with its performance!"
92924l,51188v,81516l,10/23/2023,10,delivered,10/23/2023,11/04/2023,,,
47928p,05470e,82417v,5/27/2023,9,delivered,5/27/2023,06/03/2023,06/12/2023,5,"Works perfectly, exactly what I needed!"
97832q,19560r,27297s,06/09/2023,4,delivered,06/12/2023,6/20/2023,07/03/2023,1,
37388y,14431h,57571j,11/29/2023,9,delivered,11/29/2023,12/10/2023,12/24/2023,2,Disappointing. Didn't meet my needs as expected.
79381u,09157y,45009e,7/21/2023,9,delivered,7/22/2023,08/04/2023,08/05/2023,1,
66870n,75825u,00613n,12/07/2023,1,delivered,12/09/2023,12/20/2023,12/29/2023,1,Disappointing. Didn't meet my needs as expected.
75699r,70849a,66048l,12/20/2023,2,processing,12/22/2023,,,,
13289z,39884g,95332p,10/18/2023,10,delivered,10/18/2023,10/23/2023,11/02/2023,2,
38547s,73496p,97711l,1/13/2024,4,shipped,1/16/2024,,,,
33131a,05313r,04151d,09/03/2023,8,processing,09/03/2023,,,,
84215j,66818u,83931b,12/10/2023,2,delivered,12/13/2023,12/15/2023,,,
37993o,50935w,31701h,03/12/2023,10,delivered,3/14/2023,3/22/2023,3/31/2023,5,
70085w,97696g,24752z,12/20/2023,5,pending,,,,,
77645x,01054m,95332p,04/01/2023,6,delivered,04/02/2023,04/08/2023,,,
16673f,92348m,99297w,11/18/2023,7,delivered,11/18/2023,12/01/2023,,,
62375t,44932e,45009e,06/07/2023,1,delivered,06/10/2023,6/21/2023,,,
42927m,32283g,10638s,4/27/2023,5,delivered,4/28/2023,05/02/2023,,,
89607i,61619r,20295e,11/12/2023,8,delivered,11/14/2023,11/16/2023,,,
27908m,92348m,97711l,12/08/2023,5,shipped,12/10/2023,,,,
40906p,97696g,95177z,4/13/2023,4,delivered,4/14/2023,4/20/2023,05/07/2023,5,Quality could be better for the price.
89558o,51188v,03736b,9/17/2023,3,delivered,9/18/2023,9/24/2023,10/02/2023,5,
38523c,50935w,97338x,10/09/2023,5,delivered,10/12/2023,10/22/2023,11/01/2023,4,
91622s,76537i,57571j,05/02/2023,9,shipped,05/03/2023,,,,
14017r,05470e,17115k,1/31/2024,8,delivered,1/31/2024,02/09/2024,,,
15173q,45672n,47973g,07/12/2023,3,delivered,7/13/2023,7/24/2023,,,
59596s,48745d,29754z,06/08/2023,8,shipped,06/08/2023,,,,
53516p,38964c,95177z,12/06/2023,2,delivered,12/06/2023,12/12/2023,,,
15549z,87193b,29754z,09/03/2023,1,shipped,09/06/2023,,,,
09291d,30842q,30871m,11/04/2023,1,delivered,11/06/2023,11/09/2023,11/25/2023,3,
29676o,39884g,20295e,11/14/2023,3,delivered,11/15/2023,11/22/2023,12/07/2023,3,
77542h,83161t,56764d,01/05/2024,6,delivered,01/05/2024,1/15/2024,1/29/2024,1,"Works perfectly, exactly what I needed!"
17918e,57146f,78277j,7/28/2023,6,delivered,7/29/2023,08/06/2023,8/22/2023,4,Easy to use and convenient.
90864r,04537j,20472b,08/02/2023,3,delivered,08/05/2023,08/12/2023,,,
21933j,29780w,83500s,8/27/2023,3,pending,,,,,
39914q,73496p,32750s,08/06/2023,6,delivered,08/09/2023,8/20/2023,,,
58474o,86200y,66048l,2/21/2024,3,delivered,2/23/2024,2/26/2024,,,
81068y,97146x,31982j,11/30/2023,2,delivered,12/02/2023,12/04/2023,12/17/2023,3,
11475i,88437p,17115k,6/14/2023,3,processing,6/17/2023,,,,
39994x,74833d,12490g,6/25/2023,6,delivered,6/28/2023,6/30/2023,,,
15840q,41589h,31701h,7/30/2023,8,delivered,7/31/2023,08/10/2023,,,
25301y,19560r,20472b,1/25/2024,10,delivered,1/28/2024,02/06/2024,,,
90329c,01054m,31610d,12/13/2023,2,delivered,12/13/2023,12/26/2023,12/31/2023,4,
10908t,65425n,95332p,12/10/2023,6,delivered,12/10/2023,12/17/2023,12/31/2023,4,"Average product, nothing special about it."
78441s,66818u,17115k,4/21/2023,10,delivered,4/23/2023,4/26/2023,5/14/2023,3,
24217c,77733q,48088d,07/05/2023,6,delivered,07/06/2023,7/18/2023,,,
23953r,14431h,61340n,03/12/2023,6,delivered,3/15/2023,3/23/2023,,,
05908y,57146f,95948c,02/07/2024,4,delivered,02/07/2024,02/11/2024,03/01/2024,3,Disappointing. Didn't meet my needs as expected.
86571r,92348m,08380s,11/07/2023,5,delivered,11/09/2023,11/14/2023,12/02/2023,1,
76678y,29780w,07681m,2/13/2024,9,delivered,2/16/2024,2/20/2024,2/28/2024,4,Good value for money. Does the job well.
07347y,74833d,06727r,10/18/2023,9,delivered,10/18/2023,10/25/2023,,,
81945v,44932e,63937j,11/18/2023,2,shipped,11/19/2023,,,,
05649r,96093d,00908q,2/25/2024,8,processing,2/25/2024,,,,
19958h,09903v,45819t,3/25/2023,5,delivered,3/27/2023,3/29/2023,04/09/2023,2,"Great product, very satisfied with its performance!"
83240f,88437p,56764d,9/26/2023,3,delivered,9/26/2023,10/03/2023,10/11/2023,3,"Great product, very satisfied with its performance!"
98912r,70801v,00613n,02/06/2024,4,delivered,02/07/2024,2/15/2024,2/25/2024,5,"Average product, nothing special about it."
69324i,45672n,02510u,12/27/2023,6,delivered,12/29/2023,01/05/2024,,,
07379y,86200y,29734l,2/18/2024,1,delivered,2/18/2024,03/01/2024,,,
07375h,58686s,31106q,9/14/2023,3,delivered,9/16/2023,9/26/2023,,,
09650n,99498p,48088d,10/16/2023,10,delivered,10/19/2023,10/27/2023,10/31/2023,5,Disappointing. Didn't meet my needs as expected.
99373d,30842q,63937j,02/08/2024,3,delivered,02/11/2024,2/13/2024,03/04/2024,2,Quality could be better for the price.
79240c,74115u,85065z,12/22/2023,5,delivered,12/25/2023,12/27/2023,,,
01915z,48745d,46392k,6/22/2023,8,delivered,6/24/2023,07/04/2023,07/09/2023,4,Good value for money. Does the job well.
87325c,09157y,97338x,3/18/2023,10,delivered,3/18/2023,3/30/2023,,,
05724g,05470e,12363m,9/24/2023,9,processing,9/24/2023,,,,
94496r,76537i,02090u,6/15/2023,5,delivered,6/15/2023,6/25/2023,,,
80057j,35352u,20472b,01/08/2024,2,delivered,01/08/2024,1/19/2024,,,
98744f,87193b,00908q,5/30/2023,6,delivered,5/30/2023,06/08/2023,6/18/2023,3,Good value for money. Does the job well.
16659f,89513e,00908q,03/12/2023,8,processing,3/14/2023,,,,
98155x,51188v,19648f,05/03/2023,6,pending,,,,,
83427t,39884g,65763w,8/18/2023,3,processing,8/18/2023,,,,
56092s,91921x,85065z,10/05/2023,2,delivered,10/07/2023,10/18/2023,10/21/2023,1,Good value for money. Does the job well.
54234b,01054m,31701h,11/23/2023,6,delivered,11/25/2023,12/01/2023,12/12/2023,5,Easy to use and convenient.
58220d,66812h,80153c,09/03/2023,7,delivered,09/04/2023,09/09/2023,9/18/2023,4,Disappointing. Didn't meet my needs as expected.
14422z,05470e,21440v,2/21/2024,2,delivered,2/22/2024,2/28/2024,3/16/2024,3,"Great product, very satisfied with its performance!"
51901v,45672n,68153q,3/27/2023,10,delivered,3/28/2023,04/09/2023,4/15/2023,1,
85731s,38964c,89860e,6/27/2023,4,pending,,,,,
43812n,70801v,09112u,2/19/2024,7,delivered,2/22/2024,2/27/2024,,,
25160f,74833d,20472b,1/16/2024,9,delivered,1/18/2024,1/22/2024,,,
53681x,14431h,45009e,04/04/2023,10,delivered,04/06/2023,04/09/2023,,,
36266u,04866x,94269v,12/02/2023,1,pending,,,,,
58917l,70849a,89860e,09/04/2023,6,delivered,09/05/2023,9/13/2023,9/25/2023,3,
32841u,76537i,29734l,01/12/2024,4,shipped,1/15/2024,,,,
68535t,97696g,20472b,1/24/2024,1,delivered,1/25/2024,02/06/2024,02/08/2024,3,
13407t,83161t,31610d,06/10/2023,8,delivered,06/11/2023,6/19/2023,,,
17051q,41589h,31346s,4/24/2023,5,delivered,4/25/2023,4/30/2023,5/13/2023,1,
74447s,50935w,85163t,12/25/2023,4,processing,12/26/2023,,,,
54023d,89513e,85065z,5/16/2023,2,delivered,5/16/2023,5/25/2023,,,
82905y,35352u,46392k,04/07/2023,10,delivered,04/10/2023,4/21/2023,4/28/2023,2,"Works perfectly, exactly what I needed!"
01182z,86200y,75982l,1/17/2024,3,processing,1/19/2024,,,,
59689f,87193b,97711l,01/09/2024,3,processing,01/10/2024,,,,
48337b,66818u,08380s,7/27/2023,10,delivered,7/29/2023,08/05/2023,8/18/2023,3,Good value for money. Does the job well.
95688u,51188v,46392k,1/18/2024,3,delivered,1/18/2024,1/28/2024,02/09/2024,1,"Average product, nothing special about it."
75385f,77733q,85089g,12/12/2023,1,delivered,12/13/2023,12/16/2023,,,
36997m,74115u,06727r,08/12/2023,5,delivered,8/13/2023,8/18/2023,09/06/2023,3,Good value for money. Does the job well.
56247t,12116r,17115k,09/11/2023,8,delivered,9/13/2023,9/25/2023,,,
02507u,09157y,19648f,11/08/2023,3,delivered,11/09/2023,11/20/2023,,,
77260h,65425n,70177q,5/23/2023,10,shipped,5/23/2023,,,,
90191h,99498p,05847e,12/30/2023,2,delivered,12/31/2023,01/07/2024,,,
64457p,44932e,45387s,11/24/2023,2,delivered,11/25/2023,12/02/2023,12/15/2023,3,Good value for money. Does the job well.
99440w,87193b,20295e,6/29/2023,3,pending,,,,,
36039d,58686s,83500s,4/30/2023,8,shipped,4/30/2023,,,,
90896a,70801v,19584d,08/12/2023,10,delivered,8/15/2023,8/18/2023,,,
03102n,05470e,95332p,10/03/2023,1,processing,10/03/2023,,,,
21692j,73496p,75135q,10/09/2023,5,delivered,10/12/2023,10/18/2023,10/30/2023,2,
61189a,05313r,45387s,3/31/2023,10,delivered,3/31/2023,4/13/2023,4/17/2023,5,
90348g,57146f,19648f,12/18/2023,6,delivered,12/20/2023,12/25/2023,01/02/2024,5,
23291h,88437p,27099c,03/02/2023,4,delivered,03/04/2023,03/07/2023,,,
42752h,97146x,19584d,3/14/2023,1,shipped,3/16/2023,,,,
34848l,35352u,64776e,12/02/2023,9,pending,,,,,
87324s,04866x,75982l,05/06/2023,2,shipped,05/08/2023,,,,
15980e,66818u,02510u,12/29/2023,9,delivered,01/01/2024,01/08/2024,,,
