order_id,customer_id,product_id,order_date,order_quantity,order_status,order_approval_date,order_delivery_date,rating_date,rating_score,rating_comment,Payment_date,settlement_date
84800m,92401u,74898f,7/17/2023,4,delivered,7/17/2023,7/26/2023,,"",,7/21/2023,7/31/2023
70800g,87693t,65030q,10/22/2023,7,delivered,10/24/2023,10/28/2023,,"","",10/27/2023,11/2/2023
32870v,30574y,27469s,1/25/2024,9,delivered,1/25/2024,2/2/2024,,"",,1/30/2024,2/4/2024
52706q,46940w,84959v,4/7/2023,6,shipped,4/10/2023,"",,"","",4/15/2023,4/16/2023
29528x,30574y,65030q,12/12/2023,4,delivered,12/14/2023,12/18/2023,12/28/2023,5,,12/21/2023,12/23/2023
19601v,30574y,93859q,6/3/2023,9,processing,6/5/2023,"","","","",6/9/2023,6/12/2023
15192u,46940w,84959v,6/6/2023,2,shipped,6/7/2023,"",,"","",6/14/2023,6/17/2023
34074x,87693t,27787e,10/13/2023,7,delivered,10/15/2023,10/25/2023,10/28/2023,4,Easy to use and convenient.,10/21/2023,10/25/2023
62573q,30574y,93859q,7/20/2023,3,delivered,7/23/2023,8/3/2023,,"",,7/25/2023,7/30/2023
92007f,46940w,74898f,5/7/2023,6,delivered,5/9/2023,5/18/2023,6/1/2023,2,,5/16/2023,5/18/2023
71678i,92401u,94865c,3/19/2023,10,delivered,3/20/2023,3/24/2023,,"","",3/28/2023,3/31/2023
37717o,92401u,74898f,12/14/2023,8,delivered,12/17/2023,12/20/2023,,"",,12/20/2023,12/27/2023
84945p,87693t,74898f,1/17/2024,3,processing,1/17/2024,"",,"","",1/22/2024,1/27/2024
82988a,46940w,16977e,10/5/2023,1,delivered,10/6/2023,10/19/2023,10/27/2023,5,,10/14/2023,10/14/2023
26986f,87693t,74898f,1/4/2024,5,delivered,1/7/2024,1/16/2024,1/19/2024,1,Quality could be better for the price.,1/10/2024,1/15/2024
18109l,92401u,94865c,12/7/2023,1,delivered,12/7/2023,12/21/2023,12/23/2023,4,,12/13/2023,12/18/2023
32997r,87693t,84959v,8/29/2023,6,delivered,8/30/2023,9/12/2023,9/20/2023,2,,9/3/2023,9/10/2023
10829r,87693t,15925p,4/2/2023,7,delivered,4/5/2023,4/11/2023,,"",,4/9/2023,4/11/2023
93423t,46940w,74898f,7/22/2023,7,delivered,7/24/2023,8/2/2023,8/9/2023,1,Quality could be better for the price.,7/26/2023,8/3/2023
39327h,87693t,65030q,5/13/2023,2,delivered,5/15/2023,5/26/2023,,"",,5/22/2023,5/23/2023
46425c,30574y,84959v,7/16/2023,2,delivered,7/19/2023,7/23/2023,,"",,7/24/2023,7/26/2023
67036i,87693t,84959v,3/19/2023,10,delivered,3/22/2023,4/2/2023,,"","",3/25/2023,3/28/2023
32769i,30574y,49700n,1/4/2024,6,delivered,1/7/2024,1/9/2024,1/24/2024,4,Needs better instructions for setup.,1/8/2024,1/15/2024
77712a,30574y,65030q,8/6/2023,4,delivered,8/7/2023,8/17/2023,,"",,8/14/2023,8/15/2023
54171g,30574y,65030q,6/10/2023,1,pending,"","",,"",,6/18/2023,6/22/2023
76085w,33573z,27469s,1/25/2024,10,pending,"","","","","",1/29/2024,2/5/2024
79929x,87693t,65030q,4/9/2023,6,delivered,4/9/2023,4/15/2023,,"",,4/15/2023,4/22/2023
65655f,46940w,65030q,10/29/2023,4,delivered,10/29/2023,11/7/2023,,"","",11/5/2023,11/12/2023
29847h,46940w,27787e,1/6/2024,2,delivered,1/6/2024,1/19/2024,,"","",1/11/2024,1/18/2024
85084o,33573z,27787e,8/3/2023,4,delivered,8/4/2023,8/10/2023,8/27/2023,4,Good value for money. Does the job well.,8/10/2023,8/14/2023
92582e,87693t,27469s,4/18/2023,9,delivered,4/20/2023,4/22/2023,,"","",4/23/2023,5/1/2023
34223l,30574y,93859q,1/23/2024,3,delivered,1/25/2024,2/2/2024,,"","",1/31/2024,2/2/2024
89260j,33573z,27469s,6/21/2023,1,delivered,6/24/2023,6/29/2023,,"","",6/26/2023,6/30/2023
18229l,92401u,15925p,12/23/2023,3,processing,12/23/2023,"","","",,12/29/2023,1/4/2024
41132r,87693t,49700n,3/21/2023,2,delivered,3/23/2023,4/3/2023,4/11/2023,2,,3/29/2023,4/1/2023
01884a,46940w,16977e,1/18/2024,10,processing,1/19/2024,"","","",,1/26/2024,1/27/2024
90713f,92401u,65030q,6/13/2023,1,delivered,6/13/2023,6/17/2023,,"","",6/19/2023,6/23/2023
09873j,30574y,84959v,7/21/2023,3,delivered,7/22/2023,7/30/2023,,"",,7/28/2023,7/30/2023
55656j,46940w,94865c,10/16/2023,6,delivered,10/17/2023,10/25/2023,11/7/2023,4,Highly recommended! This product exceeded my expectations.,10/20/2023,10/30/2023
47154x,87693t,74898f,10/29/2023,2,delivered,10/31/2023,11/7/2023,,"","",11/2/2023,11/9/2023
50221k,33573z,27787e,8/24/2023,8,pending,"","",,"",,8/30/2023,9/3/2023
41973w,30574y,94865c,10/24/2023,8,delivered,10/25/2023,11/7/2023,,"",,10/28/2023,11/5/2023
21622q,87693t,93859q,2/26/2023,6,delivered,2/26/2023,3/8/2023,3/15/2023,4,Highly recommended! This product exceeded my expectations.,3/5/2023,3/10/2023
19976e,92401u,74898f,10/14/2023,6,delivered,10/15/2023,10/18/2023,10/29/2023,2,,10/23/2023,10/24/2023
79071a,46940w,16977e,11/8/2023,6,delivered,11/8/2023,11/13/2023,12/3/2023,2,,11/15/2023,11/20/2023
36104m,33573z,84959v,9/26/2023,1,delivered,9/27/2023,10/8/2023,10/19/2023,4,Disappointing. Didn't meet my needs as expected.,9/30/2023,10/9/2023
50662p,33573z,27787e,1/20/2024,7,processing,1/22/2024,"",,"","",1/26/2024,2/2/2024
05930t,92401u,49700n,5/23/2023,10,delivered,5/23/2023,6/5/2023,6/14/2023,2,"Impressive design, but functionality could be improved.",5/30/2023,6/2/2023
99218n,30574y,15925p,3/9/2023,6,delivered,3/11/2023,3/14/2023,3/28/2023,3,,3/15/2023,3/20/2023
25889r,87693t,27469s,12/1/2023,9,delivered,12/2/2023,12/14/2023,12/24/2023,3,,12/5/2023,12/14/2023
