promotion_id,supplier_id,promotion_name,promotion_fees,promotion_start_date,promotion_end_date
35932h,15418t,Innovative zero defect neural-net,190.92,03-08-2023,04-07-2023
18250h,89782w,Intuitive global local area network,27.72,11/15/2023,11/26/2023
59580b,04270m,Enhanced encompassing approach,384,1/17/2024,1/27/2024
49589y,40172i,Persistent grid-enabled matrix,633.99,03-06-2023,3/27/2023
64515m,07920r,Re-engineered disintermediate task-force,424.1,1/31/2024,2/27/2024
88159i,97382p,Assimilated static projection,923.78,8/14/2023,09-10-2023
68745d,21114b,Multi-channelled clear-thinking groupware,141.71,10/20/2023,11-09-2023
78722u,58319w,Intuitive radical knowledge user,790.43,7/25/2023,08-07-2023
58099x,88228c,Re-engineered content-based product,83.04,11/18/2023,11/29/2023
86525n,97382p,Automated fault-tolerant infrastructure,832.07,1/24/2024,2/17/2024
22781v,12943g,Inverse tangible flexibility,318.46,12-11-2023,01-07-2024
44409l,65868v,Upgradable exuding contingency,133.37,8/26/2023,9/19/2023
40209i,72106x,Expanded leading edge projection,185.49,9/23/2023,10/18/2023
13785z,41002w,Profound asynchronous portal,351.98,06-05-2023,6/23/2023
16092w,83698w,Profit-focused asynchronous paradigm,537.89,7/19/2023,8/14/2023
47166m,21114b,Devolved optimal monitoring,504.98,05-02-2023,5/16/2023
26320s,58319w,Fully-configurable 5th generation product,929.34,5/30/2023,6/24/2023
55647l,78560p,Customer-focused bifurcated pricing structure,245.99,04-08-2023,05-01-2023
49537p,83698w,Re-contextualized upward-trending task-force,61.57,06-09-2023,07-04-2023
43987i,07654c,Expanded local forecast,848.01,8/20/2023,09-08-2023
36192c,83698w,Reduced holistic alliance,349.64,7/13/2023,7/26/2023
01535a,03268l,Synergized contextually-based infrastructure,870.95,4/19/2023,5/15/2023
72204x,72106x,User-centric bi-directional challenge,679.94,3/13/2023,04-08-2023
30728k,21114b,Re-contextualized asymmetric knowledge user,160.88,11-11-2023,11/29/2023
69919h,78560p,Proactive system-worthy productivity,351.14,3/14/2023,3/28/2023
27042r,67153s,Organized uniform concept,667.15,2/18/2024,03-12-2024
92468l,11866m,Fully-configurable contextually-based internet solution,357,09-09-2023,9/28/2023
43528b,58319w,Reverse-engineered local interface,290.44,1/19/2024,1/31/2024
62119v,39862x,Reduced global database,813.03,7/27/2023,8/22/2023
21686r,39862x,Cross-group content-based approach,642.76,9/14/2023,10-05-2023
50896t,12943g,Networked human-resource time-frame,655.66,2/25/2024,3/21/2024
10693r,82111p,Assimilated bottom-line customer loyalty,66.95,03-11-2023,3/21/2023
80207t,49096c,Enterprise-wide needs-based migration,288.84,7/19/2023,7/30/2023
82131t,40172i,Right-sized heuristic parallelism,936.95,10-08-2023,11-05-2023
34717a,03268l,Expanded intangible open architecture,416.25,11-06-2023,11/17/2023
93816s,76566f,Phased global superstructure,741.96,11/14/2023,12-04-2023
26028g,65868v,Inverse systemic paradigm,995.19,01-12-2024,02-07-2024
95381h,14329d,Realigned 4th generation extranet,660.46,04-01-2023,04-11-2023
95392d,41002w,Optimized optimizing pricing structure,534.36,10-08-2023,11-01-2023
97279m,50696s,Triple-buffered web-enabled software,785.04,10/23/2023,11-03-2023
80639a,82735d,Polarised executive hardware,590.04,4/14/2023,05-02-2023
59178h,01314q,Total bandwidth-monitored success,425.85,3/30/2023,4/26/2023
41781v,40172i,Multi-lateral 5th generation matrices,832.4,08-11-2023,8/24/2023
74533l,70384s,User-friendly analyzing local area network,981.94,7/24/2023,08-09-2023
93600m,24853q,Team-oriented mission-critical matrices,926.36,6/17/2023,6/29/2023
51994d,69150j,Triple-buffered foreground middleware,288.49,09-03-2023,9/16/2023
76587c,12943g,Innovative content-based product,981.03,8/14/2023,8/25/2023
85497o,28185u,Polarised multimedia capacity,31.7,02-10-2024,2/22/2024
63248w,41002w,Exclusive asymmetric capability,901.12,10/31/2023,11/30/2023
78367n,12943g,Object-based tangible alliance,555.95,07-05-2023,7/25/2023
52970e,84475z,Reduced discrete installation,730.58,7/25/2023,8/24/2023
64476m,72106x,Virtual motivating groupware,75.31,4/30/2023,5/25/2023
92456y,82735d,Self-enabling content-based database,267.01,7/23/2023,08-05-2023
10467o,72808j,Decentralized impactful moderator,916.99,03-11-2023,04-08-2023
58968l,91928z,Monitored heuristic emulation,470.92,12-07-2023,12/28/2023
08039c,67153s,Diverse full-range frame,323.53,7/16/2023,8/13/2023
13409y,01314q,Proactive secondary contingency,215.15,07-10-2023,08-07-2023
30066q,39862x,Universal mobile ability,76.87,8/31/2023,9/27/2023
40356g,19425f,Ergonomic optimizing algorithm,437.56,5/31/2023,6/22/2023
24161e,97382p,Visionary asymmetric application,755.14,07-05-2023,08-04-2023
44928l,50696s,Horizontal directional orchestration,110.25,12/15/2023,01-05-2024
76348f,76566f,Multi-layered real-time installation,456.3,12-04-2023,12/30/2023
58060q,88228c,Optimized upward-trending productivity,42.07,02-09-2024,03-04-2024
87412x,03268l,Enhanced explicit installation,690.33,04-04-2023,05-01-2023
67871j,17202g,Vision-oriented holistic orchestration,702.77,11-07-2023,12-06-2023
91315m,07920r,Synergistic maximized moderator,500.74,09-11-2023,9/26/2023
23373e,78560p,Re-contextualized real-time benchmark,205.25,06-04-2023,6/15/2023
71374c,07920r,Function-based next generation superstructure,127.67,4/25/2023,5/17/2023
33366a,99243y,Reduced grid-enabled service-desk,385.8,12-07-2023,01-06-2024
96623c,97382p,Implemented well-modulated projection,221.68,6/30/2023,7/25/2023
93569l,17202g,De-engineered scalable firmware,647.84,1/23/2024,02-08-2024
97896g,28185u,Extended neutral initiative,201.96,12-02-2023,12/26/2023
21635z,69150j,Enhanced actuating structure,961.71,12/31/2023,1/26/2024
99202j,24853q,Operative intermediate definition,810.42,11/30/2023,12/22/2023
11287s,07920r,Vision-oriented 24/7 functionalities,813.93,1/30/2024,2/20/2024
71056r,41002w,Optimized needs-based capacity,425.74,2/21/2024,3/17/2024
21660c,40172i,Distributed zero defect encoding,246.45,07-06-2023,7/28/2023
44092l,01314q,Monitored didactic project,734.59,2/14/2024,03-11-2024
90502o,31691z,Upgradable methodical success,830.9,03-05-2023,3/31/2023
57981q,93984z,Digitized even-keeled toolset,536.65,10-05-2023,10/24/2023
34819q,69150j,Proactive zero defect monitoring,220.58,10/16/2023,11-01-2023
72753m,72808j,Triple-buffered attitude-oriented approach,191.18,07-02-2023,7/24/2023
74403a,14329d,Versatile 6th generation infrastructure,374.08,09-09-2023,9/29/2023
70985n,82735d,Focused motivating approach,756.82,01-10-2024,1/26/2024
86594t,09817c,Future-proofed bottom-line data-warehouse,428.26,12/27/2023,1/17/2024
19046r,28185u,Realigned systematic utilisation,484.2,4/24/2023,5/14/2023
24929x,89527c,Horizontal mission-critical installation,24.75,9/18/2023,10/13/2023
25023i,11866m,Right-sized composite moderator,927.97,11/27/2023,12/15/2023
99718u,03268l,Customizable asynchronous service-desk,606.95,7/17/2023,08-04-2023
05585w,99243y,Centralized client-driven portal,522.3,07-02-2023,7/29/2023
27980x,89527c,Public-key explicit encryption,281.94,5/31/2023,6/29/2023
56637k,01314q,Organized real-time synergy,386.92,11-06-2023,11/22/2023
70243h,97308w,Virtual hybrid interface,160.95,05-10-2023,5/30/2023
70653h,65868v,Organized 5th generation hardware,52.74,11/24/2023,12/17/2023
