settlement_id,sale_id,settlement_date,settlement_type
50127a,19869u,05-11-2023,bank transfer
34337a,71792u,8/15/2023,bank transfer
05140c,57347d,6/15/2023,card
81996o,78568v,10/15/2023,bank transfer
28286t,09243l,1/13/2024,cheque
41311u,92126t,12-02-2023,bank draft
39647y,71403b,8/30/2023,card
29302c,21131x,8/20/2023,cheque
02441s,53382l,09-08-2023,cheque
88539d,35590t,08-10-2023,cash
47329d,35377m,12/21/2023,bank draft
98282d,96044l,12/19/2023,cash
57570b,30244a,8/29/2023,bank draft
73828h,20398f,03-11-2023,cash
52111e,19363q,6/21/2023,cheque
10517s,37751t,05-04-2023,cash
81557v,70907f,8/20/2023,card
11108e,24236k,7/19/2023,cheque
70519u,54631a,3/30/2023,bank draft
75896g,78554t,04-12-2023,cheque
43443n,42230q,3/18/2023,bank draft
12038q,03859g,12/19/2023,card
23140q,18129l,06-12-2023,cash
20137e,22502q,8/15/2023,card
66452s,50618a,3/31/2023,cash
33775x,74399t,8/19/2023,bank transfer
87791h,63766p,3/23/2023,cheque
20475y,29783y,9/16/2023,bank draft
73207e,56670o,11/15/2023,cheque
23615c,02566g,6/30/2023,cheque
05974l,70321o,06-04-2023,cash
03463c,39864n,6/15/2023,cheque
75262y,53640s,08-03-2023,cheque
65145q,56673f,02-11-2024,card
81412x,79485i,05-03-2023,card
22149e,15160h,10-07-2023,cheque
17856n,09231s,4/13/2023,bank transfer
62994g,32742m,08-01-2023,cash
27209d,83561j,08-05-2023,bank transfer
81654i,38225a,11-04-2023,bank transfer
84230h,52317d,5/13/2023,bank transfer
38216m,14054k,5/24/2023,bank draft
88846v,53453x,11/18/2023,cash
54211n,54942c,7/20/2023,cheque
86120b,57904l,11/23/2023,bank draft
89621h,04744h,10/19/2023,bank draft
86748g,54033b,9/16/2023,bank transfer
78287j,25601o,4/22/2023,bank draft
04790s,39486l,11/14/2023,cheque
24542x,87914a,04-03-2023,bank transfer
25111s,91449y,10/17/2023,bank draft
99763w,83951n,6/25/2023,cheque
39423b,21966j,11/18/2023,cash
42082p,98990o,3/13/2023,cheque
01829s,35785r,1/13/2024,bank draft
85803h,72122c,5/23/2023,cheque
61705f,32750b,1/30/2024,cash
54274r,07106m,11/21/2023,cash
86424e,68971x,5/31/2023,bank draft
06046c,46449j,12/17/2023,cheque
78218c,75951c,11-05-2023,bank transfer
15630k,97472r,7/19/2023,bank transfer
99675j,45229p,5/18/2023,cheque
39008a,28971n,11-12-2023,cheque
15572a,90265b,2/14/2024,cash
69989g,69781x,6/28/2023,bank transfer
64659w,04798h,6/17/2023,bank transfer
91752w,08503l,11/16/2023,bank transfer
74502g,55398s,06-11-2023,cheque
75453k,07613a,12/23/2023,cheque
99274n,40051x,6/24/2023,card
05709s,41685s,3/15/2023,bank transfer
63700u,05242i,01-06-2024,card
90759s,71823a,3/18/2023,bank transfer
20514h,45295v,2/24/2024,cheque
38784a,28356g,9/27/2023,bank transfer
07820r,52748j,03-10-2024,bank transfer
07681b,86614t,1/26/2024,bank transfer
60231w,61117o,05-06-2023,bank draft
44589h,61205r,11-02-2023,cash
41877f,75252r,04-02-2023,bank draft
23164t,89596a,11/24/2023,card
54480l,34385a,12-08-2023,card
70047i,90123d,1/29/2024,card
66419k,01339m,1/17/2024,card
87302e,99489x,01-03-2024,cash
08419k,91014s,08-01-2023,cheque
26539c,17563u,6/21/2023,bank transfer
20528v,61709m,01-04-2024,cash
75928s,22976d,03-01-2024,cheque
79776o,91355d,12-12-2023,card
84105x,67584q,1/21/2024,bank transfer
37120d,76390i,12/31/2023,cheque
53671e,47582i,01-06-2024,bank draft
63743q,12803p,05-09-2023,cash
05948r,92720r,4/28/2023,cheque
97238e,95097n,10-06-2023,card
37777j,68464i,11/22/2023,bank draft
64232c,51161c,2/21/2024,card
25346o,61645c,10-06-2023,bank transfer
36954v,02335j,01-02-2024,cheque
99783d,85917d,05-08-2023,bank transfer
93768j,33576i,11/23/2023,cheque
42296m,92829s,08-02-2023,bank transfer
58088y,80786t,03-06-2024,cash
65744r,24982c,3/13/2023,bank draft
52616m,71372k,11-05-2023,cash
56400z,10944f,8/25/2023,card
06079c,85957c,9/17/2023,card
89873v,22480r,6/15/2023,bank transfer
39678s,75418b,12/24/2023,bank transfer
56920a,51778i,03-12-2023,bank draft
85351v,70755r,8/24/2023,cash
27486g,28497t,07-04-2023,bank transfer
58227k,30274z,09-09-2023,cheque
17241s,13395g,6/27/2023,cash
15105z,99990k,5/29/2023,bank draft
06743d,62704h,04-05-2023,cash
91240t,40877y,06-09-2023,bank transfer
64599a,95433v,9/13/2023,card
54110z,49630w,6/28/2023,cheque
98373e,56631j,3/23/2023,cheque
05563p,25721w,09-06-2023,card
55684g,99287z,5/19/2023,cash
62103b,56340m,03-06-2024,bank draft
02058r,09934w,7/20/2023,cheque
02346e,19905g,5/31/2023,card
91102e,82132v,7/31/2023,bank transfer
84812q,23963z,08-10-2023,bank draft
87015k,76682w,9/13/2023,cheque
55959p,35629u,02-09-2024,bank draft
86551w,12385o,12/14/2023,bank transfer
65452j,40904a,3/18/2023,card
18428f,83902d,8/31/2023,bank draft
72715x,41754g,11-08-2023,cash
16934k,27721w,7/31/2023,bank draft
21627u,64150s,05-04-2023,cash
38505b,38436g,8/16/2023,bank transfer
77262u,08710t,05-06-2023,bank transfer
74826n,33111d,10/18/2023,card
55581k,28822p,10/17/2023,cheque
29895t,45581n,7/13/2023,cheque
90243n,69819l,1/28/2024,card
21428o,75419w,02-06-2024,card
26874p,90833f,7/23/2023,cheque
08723i,66225l,12/17/2023,bank draft
32378f,17956x,03-03-2024,cheque
00656q,88840c,10/31/2023,bank draft
68982u,49551i,12-07-2023,cheque
46110c,15729y,1/16/2024,cheque
24596o,09838w,4/23/2023,bank transfer
13925d,85884q,08-12-2023,card
11044a,65215b,1/20/2024,card
44392p,63824j,10/22/2023,cash
36483e,15529p,2/25/2024,bank transfer
50259z,97540k,2/21/2024,bank transfer
21081a,48332z,2/27/2024,cash
82304m,44868w,12/31/2023,cheque
40437u,34757o,10-03-2023,cash
60101m,74983p,10/22/2023,bank draft
86336b,62379v,07-07-2023,bank transfer
87412f,70314w,6/23/2023,cash
76026w,32409y,01-08-2024,cheque
64542j,37712q,11/24/2023,bank transfer
95672f,58505y,08-01-2023,cheque
44926b,77457c,9/25/2023,card
25633a,26517s,10/30/2023,bank draft
49898w,77899s,06-07-2023,cash
54933o,50461x,1/30/2024,bank transfer
67640z,90141b,11-05-2023,bank transfer
83800w,34203r,06-08-2023,cash
06574w,74250l,6/19/2023,bank transfer
79005t,80145f,12/13/2023,cheque
50189t,06677d,08-04-2023,bank transfer
99759j,83048a,12/18/2023,card
19543h,33256d,01-01-2024,bank transfer
48988i,44355k,10/30/2023,bank draft
52464y,22155q,1/23/2024,cash
71756t,67344x,9/14/2023,card
01993v,57088n,12/19/2023,cash
76712k,80689e,3/25/2023,bank transfer
87670d,30582l,12/29/2023,bank transfer
02749t,59082t,04-11-2023,bank draft
85158i,91496s,11/28/2023,cash
67592e,83207f,6/18/2023,bank transfer
05983e,63729n,05-08-2023,cash
16184q,34485y,11/25/2023,cheque
18581g,32577t,12/21/2023,card
90901w,68420m,4/25/2023,card
72462t,61213n,9/27/2023,cash
88495f,87773l,10/18/2023,card
07520k,74293r,05-12-2023,bank draft
01509r,83950w,2/14/2024,cash
08621p,84436h,7/24/2023,bank transfer
01350w,08871g,6/22/2023,cash
54091p,03373y,12/17/2023,cheque
61911i,30791o,9/13/2023,card
72321g,46581g,11/13/2023,cash
06690y,74924y,11/26/2023,bank draft
42985e,36579g,1/18/2024,cheque
50744f,17665p,08-09-2023,bank draft
22754m,80255f,08-11-2023,card
92026p,41874p,09-07-2023,cheque
23558e,14405g,8/18/2023,card
10276u,39887t,03-06-2024,cash
07897j,19058b,12-12-2023,bank transfer
95219q,33095v,6/23/2023,bank transfer
68197f,52949y,07-04-2023,bank transfer
17041w,70362p,08-08-2023,cheque
42256q,67481x,02-04-2024,cheque
42554c,32199v,12/26/2023,cheque
44020f,28936u,12/22/2023,bank transfer
75605k,38536f,05-01-2023,card
32687f,38998p,7/17/2023,cheque
91090e,25551h,3/22/2023,cash
71328s,41485e,2/20/2024,bank draft
33636n,83689l,11/21/2023,cheque
58827i,06546o,2/25/2024,cheque
57413i,67000z,10/28/2023,bank transfer
86136l,29214m,11/29/2023,cheque
52927i,69698l,03-07-2024,cheque
67813h,02090m,04-03-2023,cheque
15520b,18260n,10-10-2023,bank transfer
74600u,07200g,2/15/2024,cheque
22401m,59769y,01-10-2024,bank draft
56484f,27482o,03-02-2024,card
72357l,04829a,9/26/2023,cash
51324e,56725k,10/30/2023,cheque
57680q,11494j,2/21/2024,cash
92828x,25273h,01-03-2024,bank draft
68781e,03773r,07-03-2023,card
91245n,78459q,3/27/2023,card
57635t,58548k,10-04-2023,bank draft
93146m,01879l,6/25/2023,cheque
47284l,49337z,1/18/2024,cash
91765x,90950q,06-08-2023,bank draft
56091e,34536c,3/22/2023,card
61156h,35374x,05-12-2023,cash
51242z,87579i,8/28/2023,bank draft
34241f,68885g,10/16/2023,bank draft
50509b,81748p,12-06-2023,bank draft
38755i,00206d,9/13/2023,cheque
61691j,55165d,03-05-2024,card
36987k,23499v,04-09-2023,bank transfer
88629r,11070b,07-10-2023,bank transfer
35880e,46228t,03-02-2024,card
07729d,52003b,1/26/2024,bank transfer
34936t,79606a,4/16/2023,bank transfer
98808s,90175v,12-11-2023,bank transfer
25858e,40059d,9/18/2023,cash
19345m,90421e,1/21/2024,card
61949f,16808o,02-03-2024,cheque
81559o,66490b,6/21/2023,cheque
25775h,60637u,05-03-2023,bank transfer
39036l,80847r,01-07-2024,bank transfer
71668s,33699s,5/27/2023,card
66945w,68663f,4/21/2023,bank transfer
37385o,22298g,1/30/2024,cheque
59312l,61032m,1/22/2024,card
89201g,01507n,08-06-2023,bank draft
33691b,73602d,1/28/2024,card
29594h,45773u,12/25/2023,card
46932z,70063y,8/21/2023,cash
51868h,21303l,9/22/2023,card
76493z,32269g,11/22/2023,cash
71095e,05886f,06-01-2023,bank transfer
03088k,93275b,01-09-2024,bank draft
52575t,20570i,12-03-2023,cheque
35424k,73848q,07-10-2023,card
51765w,72310c,05-12-2023,cheque
36854i,78197a,8/24/2023,bank draft
32664z,17365u,10/15/2023,cash
84667o,49646a,10/20/2023,bank transfer
44280s,74108k,04-11-2023,cash
34416g,72956e,12/28/2023,bank transfer
62504b,33934r,3/13/2023,cheque
89861v,47785o,3/28/2023,cash
75407t,08162v,12/16/2023,bank draft
80377t,71317r,5/18/2023,cheque
35039u,95763i,01-07-2024,card
58405l,77561k,12-04-2023,cash
17295m,42728y,12/16/2023,card
26368o,09880j,4/14/2023,card
08016x,46100f,02-11-2024,bank transfer
33722d,00771t,6/28/2023,cash
71792y,54363s,04-06-2023,cash
97180l,61087j,6/24/2023,cash
54743x,88396b,5/16/2023,card
65592y,35047g,03-05-2024,cheque
49246o,41002a,3/28/2023,card
52730b,79666e,11-08-2023,bank transfer
89155n,73266p,10-12-2023,cheque
52532s,18113s,12/17/2023,cheque
50622f,00473e,1/13/2024,bank transfer
55184w,16618k,10/25/2023,cheque
21647d,61770m,1/25/2024,bank transfer
60251a,99907x,9/28/2023,card
81819w,86902x,12-12-2023,cheque
30920q,34733a,10/27/2023,cheque
07520d,06606s,11-05-2023,cheque
50934j,07246g,11/22/2023,bank draft
26026o,03558q,7/14/2023,bank transfer
09008m,07668y,4/28/2023,cheque
66627x,65582c,10-11-2023,card
72187z,10862t,09-09-2023,bank transfer
45530d,30043b,5/13/2023,bank transfer
29376r,08303x,2/16/2024,card
32922i,71447r,7/17/2023,bank transfer
85210h,49821x,08-02-2023,bank draft
63903n,47152o,10-11-2023,bank draft
07572v,46543w,8/27/2023,card
56594s,08574v,09-08-2023,card
55103a,26023u,03-03-2024,cheque
34435o,52145o,5/17/2023,cash
79727g,22195o,11-04-2023,cheque
52823p,18065w,12-06-2023,bank transfer
28347b,99727t,03-04-2024,cash
19465h,87907y,4/30/2023,card
69191v,29582r,06-09-2023,bank transfer
48195f,42715i,3/16/2023,bank transfer
63616p,29577v,8/22/2023,card
40527d,55328t,06-11-2023,card
39088p,06786k,1/18/2024,bank draft
20462j,35840f,10/15/2023,cash
39450t,40611q,9/28/2023,cheque
18327q,04043y,8/22/2023,cheque
90765z,86052d,6/29/2023,cheque
34655z,64565y,12/26/2023,cash
24404t,33076s,02-04-2024,card
58042c,68791y,06-06-2023,bank transfer
80261a,05057r,10-10-2023,cash
21941z,52243b,12/27/2023,bank transfer
57037g,16803b,9/21/2023,bank draft
26868s,41724i,03-12-2023,cash
63054s,28655l,8/14/2023,cash
30041c,81123g,4/28/2023,card
81996y,76276h,09-05-2023,cheque
48093w,19959a,4/28/2023,bank draft
02650f,81463i,03-08-2023,cash
06918s,04579j,8/27/2023,card
45367u,71182m,7/18/2023,bank draft
46247q,49453y,6/17/2023,bank transfer
07079e,60221s,11-07-2023,cash
22350l,25512y,09-02-2023,bank transfer
45948q,85008o,9/16/2023,cash
30469z,96353w,02-02-2024,card
78999l,48479u,11/22/2023,bank transfer
17711f,06767s,01-03-2024,bank transfer
39161v,83911p,5/27/2023,cheque
04987q,41408a,3/27/2023,bank transfer
37453q,71335z,11/26/2023,cheque
41075j,05751y,7/19/2023,card
92851d,34768b,7/13/2023,card
52797k,29755w,08-10-2023,cash
02956b,24501b,1/19/2024,card
86874g,14859y,12/30/2023,card
31538t,76236i,11/16/2023,bank draft
01650a,06204n,03-01-2024,bank draft
18383b,34687v,10/29/2023,card
89073a,96022g,09-08-2023,card
07296p,90961z,06-05-2023,card
39720o,63630c,11/16/2023,cash
61134d,56571q,12/13/2023,card
88216d,69247r,03-04-2024,cash
70428p,00081s,12-02-2023,bank transfer
20904v,91605y,8/26/2023,cash
48966j,02432j,06-01-2023,cheque
11372y,25459l,10-05-2023,cash
75383m,12373n,05-12-2023,cheque
38001j,08152z,2/27/2024,card
74844g,94496b,07-10-2023,cheque
70364y,73187o,01-10-2024,cheque
43847j,84064a,06-12-2023,bank transfer
21160q,40421p,01-06-2024,cheque
18229f,43062k,02-04-2024,cash
75895b,86578l,4/14/2023,cheque
48238p,65591z,03-12-2023,bank draft
87409q,63951m,11-07-2023,card
84388u,80689p,5/31/2023,bank draft
29932v,85160u,8/13/2023,card
20896n,46527i,11-06-2023,bank draft
24844z,07438x,8/16/2023,cash
01656y,40559y,2/13/2024,card
07320e,90287x,11/18/2023,cash
09071q,97250v,8/17/2023,card
18456d,76764i,5/17/2023,bank draft
73723d,58069n,1/13/2024,bank draft
61157y,82804d,7/27/2023,card
48333a,05304q,1/21/2024,card
89857t,22356r,10/23/2023,cash
49290y,00006a,11/15/2023,card
06041q,66654p,01-05-2024,card
65511y,93127g,02-02-2024,bank transfer
23608c,26430z,9/16/2023,cash
29786u,93149k,9/21/2023,card
86596j,78353r,1/26/2024,cheque
16974e,44487n,4/30/2023,card
95813e,34719a,12/14/2023,cash
46824y,15592x,10-08-2023,bank transfer
29583u,84957m,9/13/2023,bank draft
00624h,67086z,6/18/2023,cash
51255e,31928h,11/13/2023,card
57878m,35162d,10/19/2023,bank transfer
27312d,36451g,9/19/2023,bank transfer
49670g,98061h,11/23/2023,cheque
44804i,50236f,3/27/2023,bank draft
47887b,85800s,12/19/2023,cash
45608n,19411h,06-08-2023,cheque
66101i,09623b,05-07-2023,card
59106v,97102x,12/23/2023,bank transfer
35634m,24566s,5/22/2023,card
99875e,02078n,02-10-2024,bank transfer
27397k,31140k,12/15/2023,card
75113c,88663a,5/14/2023,bank transfer
71301x,03285r,04-01-2023,bank draft
93913a,80195i,10/24/2023,bank transfer
26274i,41597j,11-11-2023,bank draft
73700v,46581t,8/22/2023,cash
70943q,68780w,11-02-2023,cash
02912m,00446s,5/26/2023,cash
75769o,25664b,3/24/2023,card
44947x,99261o,02-05-2024,cheque
94694r,98703e,10/29/2023,cheque
09947s,63260v,9/17/2023,bank transfer
77687z,67950t,02-06-2024,cash
33002m,13687o,09-12-2023,bank transfer
